"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2000-01-02T23:00:00.000Z","41.44","48.13","39.75","44.50","7.39","6.43","88,993,300"
"2000-01-31T23:00:00.000Z","44.19","45.19","35.88","36.94","-16.99","-17.95","74,708,700"
"2000-02-29T23:00:00.000Z","36.63","38.94","32.00","37.81","2.37","1.41","103,214,900"
"2000-04-02T22:00:00.000Z","37.75","41.25","34.06","39.69","4.96","4.00","78,544,600"
"2000-04-30T22:00:00.000Z","39.69","40.19","36.25","39.06","-1.57","-2.54","64,366,700"
"2000-05-31T22:00:00.000Z","39.31","42.25","37.69","41.81","7.04","6.08","68,452,600"
"2000-07-02T22:00:00.000Z","41.81","50.25","41.44","48.81","16.74","15.78","88,994,200"
"2000-07-31T22:00:00.000Z","48.81","54.88","45.31","53.64","9.89","8.93","99,636,200"
"2000-08-31T22:00:00.000Z","53.75","66.94","53.75","64.50","20.24","19.28","117,177,500"
"2000-10-01T22:00:00.000Z","61.25","67.88","54.00","67.81","5.14","4.18","100,721,600"
"2000-10-31T23:00:00.000Z","67.81","70.00","61.94","69.06","1.84","0.88","73,634,500"
"2000-11-30T23:00:00.000Z","68.69","70.94","61.44","66.00","-4.43","-5.39","78,675,100"
"2001-01-01T23:00:00.000Z","65.31","65.31","54.56","58.50","-11.36","-12.32","82,636,600"
"2001-01-31T23:00:00.000Z","58.50","63.90","56.04","62.20","6.32","5.36","53,226,700"
"2001-02-28T23:00:00.000Z","61.86","65.60","49.70","55.71","-10.43","-11.39","99,171,000"
"2001-04-01T22:00:00.000Z","55.71","64.91","53.92","61.80","10.93","9.97","64,908,300"
"2001-04-30T22:00:00.000Z","62.70","69.85","62.33","62.89","1.76","0.80","65,270,400"
"2001-05-31T22:00:00.000Z","62.90","67.55","55.40","55.60","-11.59","-12.55","84,393,900"
"2001-07-01T22:00:00.000Z","56.30","58.90","52.55","58.53","5.27","4.31","63,885,800"
"2001-07-31T22:00:00.000Z","58.65","59.80","50.17","51.20","-12.52","-13.48","63,814,400"
"2001-09-03T22:00:00.000Z","49.75","51.97","27.60","33.50","-34.57","-35.53","150,537,400"
"2001-09-30T22:00:00.000Z","33.50","38.10","32.05","32.60","-2.69","-3.65","125,074,600"
"2001-10-31T23:00:00.000Z","32.50","36.25","31.58","35.10","7.67","6.71","84,489,300"
"2001-12-02T23:00:00.000Z","35.10","39.42","34.03","38.78","10.48","9.52","69,709,300"
"2002-01-01T23:00:00.000Z","38.54","41.89","37.65","40.95","5.60","4.64","80,548,400"
"2002-01-31T23:00:00.000Z","41.00","47.47","40.50","45.96","12.23","11.27","77,223,700"
"2002-02-28T23:00:00.000Z","46.55","51.07","45.25","48.25","4.98","4.02","74,848,200"
"2002-03-31T22:00:00.000Z","48.25","50.05","41.00","44.60","-7.56","-8.52","102,356,900"
"2002-04-30T22:00:00.000Z","44.90","46.03","42.46","42.65","-4.37","-5.33","60,754,000"
"2002-06-02T22:00:00.000Z","43.40","45.09","41.45","45.00","5.51","4.55","56,211,000"
"2002-06-30T22:00:00.000Z","44.97","45.28","37.10","41.52","-7.73","-8.69","97,626,200"
"2002-07-31T22:00:00.000Z","41.00","41.65","34.10","37.07","-10.72","-11.68","92,061,100"
"2002-09-02T22:00:00.000Z","36.80","37.80","33.20","34.13","-7.93","-8.89","66,248,400"
"2002-09-30T22:00:00.000Z","34.32","36.02","28.53","29.75","-12.83","-13.79","110,612,900"
"2002-10-31T23:00:00.000Z","29.79","35.14","29.56","34.05","14.45","13.49","81,189,500"
"2002-12-01T23:00:00.000Z","34.60","34.88","31.25","32.99","-3.11","-4.07","55,484,500"
"2003-01-01T23:00:00.000Z","33.00","34.59","30.20","31.59","-4.24","-5.20","56,222,600"
"2003-02-02T23:00:00.000Z","30.90","31.63","27.24","27.56","-12.76","-13.72","64,693,900"
"2003-03-02T23:00:00.000Z","27.70","28.42","24.73","25.06","-9.07","-10.03","102,161,300"
"2003-03-31T22:00:00.000Z","25.37","28.66","25.20","27.28","8.86","7.90","99,215,500"
"2003-04-30T22:00:00.000Z","27.17","30.86","27.00","30.67","12.43","11.47","92,016,400"
"2003-06-01T22:00:00.000Z","31.10","37.36","31.00","34.32","11.90","10.94","108,420,900"
"2003-06-30T22:00:00.000Z","34.10","35.55","31.16","33.12","-3.50","-4.46","90,229,500"
"2003-07-31T22:00:00.000Z","32.71","37.46","31.00","37.39","12.89","11.93","66,343,600"
"2003-09-01T22:00:00.000Z","37.29","38.90","33.66","34.33","-8.18","-9.14","69,764,000"
"2003-09-30T22:00:00.000Z","34.50","39.21","34.40","38.49","12.12","11.16","67,044,700"
"2003-11-02T23:00:00.000Z","38.54","40.15","37.61","38.39","-0.26","-1.22","57,725,000"
"2003-11-30T23:00:00.000Z","37.60","43.37","37.60","42.14","9.77","8.81","75,988,600"
"2004-01-01T23:00:00.000Z","42.50","44.71","41.47","41.75","-0.93","-1.89","63,605,500"
"2004-02-01T23:00:00.000Z","41.67","45.10","41.60","43.37","3.88","2.92","69,555,100"
"2004-02-29T23:00:00.000Z","43.38","43.87","38.04","41.07","-5.30","-6.26","70,860,900"
"2004-03-31T22:00:00.000Z","41.07","44.90","40.31","42.69","3.94","2.98","53,867,200"
"2004-05-02T22:00:00.000Z","43.25","46.62","42.29","45.80","7.29","6.32","63,649,200"
"2004-05-31T22:00:00.000Z","45.90","51.49","45.51","51.09","11.55","10.59","75,091,100"
"2004-06-30T22:00:00.000Z","50.10","51.25","46.40","50.75","-0.67","-1.63","67,542,700"
"2004-08-01T22:00:00.000Z","50.20","52.82","48.27","52.22","2.90","1.94","65,486,800"
"2004-08-31T22:00:00.000Z","52.10","55.24","50.50","51.62","-1.15","-2.11","62,223,000"
"2004-09-30T22:00:00.000Z","51.62","52.87","48.10","49.90","-3.33","-4.29","69,454,500"
"2004-10-31T23:00:00.000Z","50.10","55.48","49.65","53.57","7.35","6.39","71,858,700"
"2004-11-30T23:00:00.000Z","53.60","55.29","51.62","51.77","-3.36","-4.32","63,851,600"
"2005-01-02T23:00:00.000Z","51.85","52.25","49.52","50.60","-2.26","-3.22","68,299,400"
"2005-01-31T23:00:00.000Z","50.60","55.05","50.22","54.97","8.64","7.68","75,073,700"
"2005-02-28T23:00:00.000Z","54.98","58.94","54.26","58.46","6.35","5.39","93,509,800"
"2005-03-31T22:00:00.000Z","58.55","60.10","56.22","59.52","1.81","0.85","83,662,100"
"2005-05-01T22:00:00.000Z","59.52","64.20","58.62","63.90","7.36","6.40","83,911,100"
"2005-05-31T22:00:00.000Z","63.95","66.85","59.70","66.00","3.29","2.33","103,728,600"
"2005-06-30T22:00:00.000Z","65.78","67.95","63.45","66.01","0.02","-0.95","70,775,300"
"2005-07-31T22:00:00.000Z","66.30","68.38","65.60","67.02","1.53","0.57","63,232,300"
"2005-08-31T22:00:00.000Z","66.65","68.25","62.01","67.95","1.39","0.43","87,863,000"
"2005-10-02T22:00:00.000Z","67.92","68.98","63.70","64.64","-4.87","-5.83","96,368,300"
"2005-10-31T23:00:00.000Z","65.00","69.90","64.20","68.19","5.49","4.53","84,124,100"
"2005-11-30T23:00:00.000Z","68.35","72.40","68.32","70.24","3.01","2.05","67,947,300"
"2006-01-02T23:00:00.000Z","70.40","71.27","65.90","68.31","-2.75","-3.71","76,958,400"
"2006-01-31T23:00:00.000Z","70.00","74.89","70.00","72.69","6.41","5.45","74,037,100"
"2006-02-28T23:00:00.000Z","72.56","79.50","71.90","77.93","7.21","6.25","66,651,200"
"2006-04-02T22:00:00.000Z","78.25","87.25","77.50","83.45","7.08","6.12","71,813,900"
"2006-04-30T22:00:00.000Z","83.45","89.58","81.21","83.25","-0.24","-1.20","82,124,900"
"2006-05-31T22:00:00.000Z","83.60","86.23","76.40","81.91","-1.61","-2.57","101,961,400"
"2006-07-02T22:00:00.000Z","81.35","84.06","76.89","77.42","-5.48","-6.44","84,047,900"
"2006-07-31T22:00:00.000Z","77.42","80.83","72.90","74.90","-3.25","-4.22","89,738,100"
"2006-08-31T22:00:00.000Z","75.00","80.35","72.13","78.85","5.27","4.31","78,827,000"
"2006-10-01T22:00:00.000Z","79.35","84.39","77.77","79.86","1.28","0.32","99,571,700"
"2006-10-31T23:00:00.000Z","80.01","92.05","79.11","88.53","10.86","9.90","110,028,000"
"2006-11-30T23:00:00.000Z","89.60","91.85","88.35","88.84","0.35","-0.61","62,864,400"
"2007-01-02T23:00:00.000Z","88.90","90.34","84.60","89.56","0.81","-0.15","91,900,700"
"2007-01-31T23:00:00.000Z","89.95","92.24","85.24","87.26","-2.57","-3.53","82,094,900"
"2007-02-28T23:00:00.000Z","86.60","91.87","85.91","88.91","1.89","0.93","87,688,500"
"2007-04-01T22:00:00.000Z","88.90","95.58","88.08","93.00","4.60","3.64","87,978,700"
"2007-04-30T22:00:00.000Z","93.15","100.96","92.38","100.59","8.16","7.20","86,799,000"
"2007-05-31T22:00:00.000Z","101.45","101.45","93.58","96.16","-4.40","-5.36","94,558,300"
"2007-07-01T22:00:00.000Z","96.72","107.83","96.27","103.43","7.56","6.60","107,692,500"
"2007-07-31T22:00:00.000Z","103.03","106.35","90.08","96.70","-6.51","-7.47","136,928,600"
"2007-09-03T22:00:00.000Z","96.10","106.15","94.02","104.99","8.57","7.61","107,584,100"
"2007-09-30T22:00:00.000Z","105.45","107.15","92.00","98.59","-6.10","-7.06","184,091,500"
"2007-10-31T23:00:00.000Z","98.30","98.67","86.75","92.54","-6.14","-7.10","139,211,300"
"2007-12-02T23:00:00.000Z","92.50","93.64","85.55","87.46","-5.49","-6.45","124,346,500"
"2008-01-01T23:00:00.000Z","87.57","87.84","74.12","83.18","-4.89","-5.85","183,593,300"
"2008-01-31T23:00:00.000Z","83.37","86.88","78.71","82.79","-0.47","-1.43","114,896,600"
"2008-03-02T23:00:00.000Z","79.32","81.32","71.59","74.37","-10.17","-11.13","158,008,800"
"2008-03-31T22:00:00.000Z","75.02","86.45","74.04","84.86","14.11","13.14","149,974,300"
"2008-04-30T22:00:00.000Z","84.86","88.29","80.55","82.77","-2.46","-3.42","108,920,400"
"2008-06-01T22:00:00.000Z","82.61","82.61","65.55","65.72","-20.60","-21.56","172,686,900"
"2008-06-30T22:00:00.000Z","64.95","69.50","61.01","61.11","-7.01","-7.97","172,145,400"
"2008-07-31T22:00:00.000Z","61.39","68.75","60.77","65.56","7.28","6.32","133,037,900"
"2008-09-01T22:00:00.000Z","67.00","68.47","54.20","57.35","-12.52","-13.48","169,175,700"
"2008-09-30T22:00:00.000Z","56.76","58.00","39.99","52.42","-8.60","-9.56","253,674,300"
"2008-11-02T23:00:00.000Z","51.90","54.65","36.17","42.63","-18.68","-19.64","177,147,000"
"2008-11-30T23:00:00.000Z","41.64","43.69","36.28","42.67","0.09","-0.87","158,466,000"
"2009-01-01T23:00:00.000Z","42.80","47.00","39.51","42.31","-0.84","-1.80","139,705,400"
"2009-02-01T23:00:00.000Z","41.73","43.67","31.40","31.44","-25.69","-26.65","152,449,700"
"2009-03-01T23:00:00.000Z","30.96","38.68","29.05","35.58","13.17","12.21","227,580,100"
"2009-03-31T22:00:00.000Z","34.52","41.74","34.21","40.05","12.56","11.60","158,407,900"
"2009-04-30T22:00:00.000Z","40.31","45.84","40.09","44.85","11.99","11.02","119,288,100"
"2009-05-31T22:00:00.000Z","45.54","53.39","41.09","42.50","-5.24","-6.20","203,961,900"
"2009-06-30T22:00:00.000Z","42.63","44.50","38.92","42.91","0.96","0","157,987,100"
"2009-08-02T22:00:00.000Z","43.18","52.53","42.51","49.67","15.75","14.79","150,311,700"
"2009-08-31T22:00:00.000Z","49.21","55.48","47.76","54.15","9.02","8.06","109,453,100"
"2009-09-30T22:00:00.000Z","53.85","53.90","47.18","47.80","-11.73","-12.69","126,937,300"
"2009-11-01T23:00:00.000Z","47.82","53.00","47.33","52.41","9.64","8.68","83,821,900"
"2009-11-30T23:00:00.000Z","52.75","56.56","52.75","54.13","3.28","2.32","103,468,100"
"2010-01-03T23:00:00.000Z","55.72","63.40","54.80","60.60","11.95","10.99","130,667,600"
"2010-01-31T23:00:00.000Z","60.74","64.47","57.14","63.16","4.22","3.26","108,739,500"
"2010-02-28T23:00:00.000Z","63.05","74.53","63.00","72.61","14.96","14.00","163,859,800"
"2010-03-31T22:00:00.000Z","73.24","76.00","69.88","72.43","-0.25","-1.21","117,851,900"
"2010-05-02T22:00:00.000Z","72.62","74.70","60.61","64.18","-11.39","-12.35","152,590,100"
"2010-05-31T22:00:00.000Z","64.27","69.34","59.84","62.75","-2.23","-3.19","141,914,900"
"2010-06-30T22:00:00.000Z","62.48","69.75","60.65","68.14","8.59","7.63","110,005,400"
"2010-08-01T22:00:00.000Z","69.01","70.00","59.48","61.13","-10.29","-11.25","99,202,500"
"2010-08-31T22:00:00.000Z","61.79","67.97","61.66","66.54","8.85","7.89","97,619,100"
"2010-09-30T22:00:00.000Z","67.54","72.49","65.86","70.64","6.16","5.20","97,535,100"
"2010-10-31T23:00:00.000Z","70.71","71.89","61.84","63.77","-9.73","-10.69","150,042,600"
"2010-11-30T23:00:00.000Z","64.66","67.39","62.82","65.26","2.34","1.38","103,910,300"
"2011-01-02T23:00:00.000Z","66.15","72.99","66.00","69.48","6.47","5.51","128,661,800"
"2011-01-31T23:00:00.000Z","70.00","74.29","69.60","72.01","3.64","2.68","91,690,200"
"2011-02-28T23:00:00.000Z","71.93","74.47","67.34","73.93","2.67","1.71","119,791,900"
"2011-03-31T22:00:00.000Z","74.29","80.34","70.88","79.78","7.91","6.95","95,129,600"
"2011-05-01T22:00:00.000Z","80.35","80.65","75.13","78.03","-2.19","-3.15","87,491,500"
"2011-05-31T22:00:00.000Z","77.95","78.10","70.29","73.93","-5.25","-6.21","103,740,100"
"2011-06-30T22:00:00.000Z","73.81","76.20","69.07","70.47","-4.68","-5.64","106,421,300"
"2011-07-31T22:00:00.000Z","71.61","71.63","56.01","66.86","-5.12","-6.08","194,916,400"
"2011-08-31T22:00:00.000Z","66.96","67.73","57.53","60.51","-9.50","-10.46","124,749,900"
"2011-10-02T22:00:00.000Z","60.10","68.76","56.90","65.79","8.73","7.77","127,425,600"
"2011-10-31T23:00:00.000Z","64.23","68.97","62.12","68.69","4.41","3.45","114,604,000"
"2011-11-30T23:00:00.000Z","68.70","74.74","68.51","73.35","6.78","5.82","116,561,100"
"2012-01-02T23:00:00.000Z","74.70","76.70","72.74","74.18","1.13","0.17","103,787,200"
"2012-01-31T23:00:00.000Z","74.96","76.74","74.30","74.95","1.04","0.08","84,337,600"
"2012-02-29T23:00:00.000Z","74.96","75.81","72.30","74.37","-0.77","-1.73","89,633,300"
"2012-04-01T22:00:00.000Z","74.00","77.57","70.59","76.80","3.27","2.31","85,289,300"
"2012-04-30T22:00:00.000Z","76.59","77.83","68.93","69.61","-9.36","-10.32","88,091,800"
"2012-05-31T22:00:00.000Z","68.67","74.37","66.82","74.30","6.74","5.78","88,430,100"
"2012-07-01T22:00:00.000Z","74.21","75.96","70.85","73.91","-0.52","-1.49","86,964,700"
"2012-07-31T22:00:00.000Z","74.32","74.69","70.02","71.40","-3.40","-4.36","85,793,400"
"2012-09-03T22:00:00.000Z","71.50","73.27","69.03","69.60","-2.52","-3.48","103,075,800"
"2012-09-30T22:00:00.000Z","69.86","75.00","69.20","70.44","1.21","0.25","92,093,600"
"2012-10-31T23:00:00.000Z","70.59","74.86","69.30","74.28","5.45","4.49","101,603,600"
"2012-12-02T23:00:00.000Z","74.41","76.56","72.93","75.36","1.45","0.49","90,048,100"
"2013-01-01T23:00:00.000Z","76.55","78.02","72.68","73.87","-1.98","-2.94","191,804,200"
"2013-01-31T23:00:00.000Z","74.49","77.93","74.23","76.90","4.10","3.14","101,429,400"
"2013-02-28T23:00:00.000Z","76.70","86.84","76.17","85.85","11.64","10.68","105,390,300"
"2013-03-31T22:00:00.000Z","85.60","93.38","83.80","91.41","6.48","5.52","106,380,800"
"2013-04-30T22:00:00.000Z","91.08","101.47","90.72","99.02","8.33","7.36","111,622,200"
"2013-06-02T22:00:00.000Z","99.36","104.15","96.31","102.44","3.45","2.49","99,711,500"
"2013-06-30T22:00:00.000Z","102.93","109.49","98.99","105.10","2.60","1.64","152,799,000"
"2013-07-31T22:00:00.000Z","105.99","107.95","101.77","103.92","-1.12","-2.08","79,814,700"
"2013-09-02T22:00:00.000Z","105.13","120.38","104.62","117.50","13.07","12.11","89,293,700"
"2013-09-30T22:00:00.000Z","117.97","131.88","113.34","130.50","11.06","10.10","102,075,200"
"2013-10-31T23:00:00.000Z","130.90","142.00","130.58","134.25","2.87","1.91","88,250,600"
"2013-12-01T23:00:00.000Z","134.99","138.88","130.55","136.49","1.67","0.71","78,680,000"
"2014-01-01T23:00:00.000Z","136.01","144.57","123.08","125.26","-8.23","-9.19","113,971,400"
"2014-02-02T23:00:00.000Z","124.24","130.94","118.77","128.92","2.92","1.96","119,986,800"
"2014-03-02T23:00:00.000Z","127.18","131.00","121.37","125.49","-2.66","-3.62","97,798,400"
"2014-03-31T22:00:00.000Z","126.24","131.50","121.92","129.02","2.81","1.85","77,966,900"
"2014-04-30T22:00:00.000Z","128.74","135.44","128.27","135.25","4.83","3.87","61,514,500"
"2014-06-01T22:00:00.000Z","135.50","138.39","126.20","127.23","-5.93","-6.89","78,754,100"
"2014-06-30T22:00:00.000Z","127.66","130.58","120.41","120.48","-5.31","-6.27","111,816,600"
"2014-07-31T22:00:00.000Z","120.45","129.13","117.87","126.80","5.25","4.29","79,247,500"
"2014-09-01T22:00:00.000Z","125.62","129.87","124.10","127.38","0.46","-0.50","75,364,300"
"2014-09-30T22:00:00.000Z","127.37","128.00","116.32","124.91","-1.94","-2.90","107,425,800"
"2014-11-02T23:00:00.000Z","125.35","135.78","123.37","134.36","7.57","6.61","72,415,400"
"2014-11-30T23:00:00.000Z","134.31","134.40","120.58","129.98","-3.26","-4.22","96,842,100"
"2015-01-01T23:00:00.000Z","131.07","148.25","126.18","145.37","11.84","10.88","109,099,900"
"2015-02-01T23:00:00.000Z","143.72","158.83","143.05","150.85","3.77","2.81","92,535,100"
"2015-03-01T23:00:00.000Z","150.85","156.91","145.96","150.08","-0.51","-1.47","81,607,600"
"2015-03-31T22:00:00.000Z","149.97","155.50","142.75","143.34","-4.49","-5.45","84,509,000"
"2015-04-30T22:00:00.000Z","144.41","148.30","140.32","140.52","-1.97","-2.93","79,306,200"
"2015-05-31T22:00:00.000Z","141.45","146.53","138.44","138.72","-1.28","-2.24","70,463,300"
"2015-06-30T22:00:00.000Z","140.48","149.18","139.00","144.17","3.93","2.97","70,138,100"
"2015-08-02T22:00:00.000Z","144.44","146.77","115.14","130.68","-9.36","-10.32","92,795,600"
"2015-08-31T22:00:00.000Z","128.16","139.91","126.94","130.95","0.21","-0.75","81,291,700"
"2015-09-30T22:00:00.000Z","131.32","149.60","128.56","148.07","13.07","12.11","92,079,800"
"2015-11-01T23:00:00.000Z","148.38","150.59","141.59","145.45","-1.77","-2.73","52,884,600"
"2015-11-30T23:00:00.000Z","146.54","149.80","138.89","144.59","-0.59","-1.55","79,703,200"
"2016-01-03T23:00:00.000Z","141.38","141.70","115.02","120.13","-16.92","-17.88","135,869,300"
"2016-01-31T23:00:00.000Z","119.64","124.91","102.10","118.18","-1.62","-2.58","153,197,300"
"2016-02-29T23:00:00.000Z","119.01","136.78","118.25","126.94","7.41","6.45","107,857,100"
"2016-03-31T22:00:00.000Z","126.23","137.89","125.11","134.80","6.19","5.23","96,194,200"
"2016-05-01T22:00:00.000Z","134.38","135.24","125.88","126.15","-6.42","-7.38","82,271,600"
"2016-05-31T22:00:00.000Z","126.00","134.55","122.35","129.87","2.95","1.99","102,673,100"
"2016-06-30T22:00:00.000Z","129.54","139.45","123.96","133.66","2.92","1.96","76,110,800"
"2016-07-31T22:00:00.000Z","133.21","136.37","129.14","129.45","-3.15","-4.11","61,479,300"
"2016-08-31T22:00:00.000Z","130.03","133.08","126.31","131.74","1.77","0.81","71,556,000"
"2016-10-02T22:00:00.000Z","131.28","146.23","130.74","142.43","8.11","7.15","80,980,500"
"2016-10-31T23:00:00.000Z","142.95","153.08","138.80","150.56","5.71","4.75","73,758,100"
"2016-11-30T23:00:00.000Z","150.74","160.07","150.02","155.68","3.40","2.44","63,386,600"
"2017-01-02T23:00:00.000Z","156.30","170.00","155.21","163.42","4.97","4.01","73,378,000"
"2017-01-31T23:00:00.000Z","164.25","181.93","160.82","180.23","10.29","9.33","67,320,300"
"2017-02-28T23:00:00.000Z","181.85","185.71","173.75","176.86","-1.87","-2.83","71,329,400"
"2017-04-02T22:00:00.000Z","177.08","184.93","175.50","184.83","4.51","3.55","52,177,700"
"2017-04-30T22:00:00.000Z","184.23","188.26","175.47","187.63","1.51","0.55","66,022,900"
"2017-05-31T22:00:00.000Z","187.41","204.39","184.53","197.75","5.39","4.43","64,606,400"
"2017-07-02T22:00:00.000Z","198.07","246.49","197.75","242.46","22.61","21.65","75,175,600"
