Date,Close,Volume,Open,High,Low
04/22/2024,$170.48,4724887,$169.82,$172.15,$168.16
04/19/2024,$169.82,4693869,$170.00,$172.00,$169.65
04/18/2024,$170.23,5123020,$169.48,$172.04,$169.095
04/17/2024,$170.21,8162632,$170.00,$170.85,$168.1215
04/16/2024,$170.55,7986725,$168.14,$170.64,$167.75
04/15/2024,$167.82,6490657,$170.74,$171.18,$167.53
04/12/2024,$169.55,7568297,$172.20,$173.24,$169.37
04/11/2024,$173.36,7625110,$174.47,$174.70,$171.38
04/10/2024,$174.63,9727732,$176.31,$178.10,$172.44
04/09/2024,$178.12,11439940,$181.51,$183.05,$176.57
04/08/2024,$181.56,6176429,$182.14,$184.55,$181.49
04/05/2024,$183.14,4130401,$184.16,$184.66,$182.44
04/04/2024,$183.29,6513806,$185.93,$188.00,$182.81
04/03/2024,$184.92,6609307,$187.68,$188.78,$184.27
04/02/2024,$188.04,4477218,$189.00,$189.23,$187.13
04/01/2024,$189.50,5107773,$192.24,$192.8673,$189.03
03/28/2024,$192.99,4471666,$192.00,$193.38,$191.20
03/27/2024,$191.95,7372795,$188.84,$191.99,$188.33
03/26/2024,$187.50,8972192,$192.02,$192.03,$186.81
03/25/2024,$191.41,12952960,$196.01,$196.18,$189.5001
03/22/2024,$188.85,7826970,$188.75,$192.94,$188.19
03/21/2024,$187.70,7436385,$189.79,$190.3843,$187.55
03/20/2024,$187.78,12770000,$178.99,$188.297,$178.60
03/19/2024,$181.14,7648033,$180.11,$181.86,$179.735
03/18/2024,$179.84,9497831,$180.26,$181.19,$177.5194
03/15/2024,$182.53,10800680,$180.99,$184.18,$180.91
03/14/2024,$181.15,10016190,$182.00,$184.9399,$180.52
03/13/2024,$182.35,10196150,$183.16,$185.97,$182.08
03/12/2024,$184.24,18714750,$188.235,$188.58,$183.16
03/11/2024,$192.49,14160620,$194.21,$196.07,$189.80
03/08/2024,$198.49,9010175,$201.84,$203.80,$198.46
03/07/2024,$203.03,5965338,$200.70,$203.73,$200.57
03/06/2024,$201.00,4736636,$201.77,$202.345,$199.8601
03/05/2024,$201.14,5034661,$199.49,$202.85,$198.70
03/04/2024,$200.54,7213885,$199.50,$201.54,$196.92
03/01/2024,$200.00,11609470,$204.00,$205.06,$199.01
02/29/2024,$203.72,6670260,$206.44,$206.615,$202.7043
02/28/2024,$207.00,9654653,$201.14,$208.10,$200.18
02/27/2024,$201.40,3932875,$200.93,$202.00,$200.04
02/26/2024,$200.54,4807216,$201.01,$202.75,$200.00
02/23/2024,$200.83,7433353,$200.99,$202.07,$197.15
02/22/2024,$201.50,6513541,$202.00,$204.097,$200.40
02/21/2024,$201.57,4179808,$202.90,$203.6322,$201.21
02/20/2024,$203.37,5248399,$203.55,$205.58,$202.71
02/16/2024,$203.89,5986529,$204.88,$205.05,$202.81
02/15/2024,$205.33,5309060,$204.12,$206.55,$203.40
02/14/2024,$203.38,6503032,$205.95,$206.58,$202.21
02/13/2024,$204.46,8263634,$206.90,$207.81,$202.33
02/12/2024,$209.33,4077413,$208.70,$209.80,$207.60
02/09/2024,$209.20,4349671,$209.77,$211.44,$207.90
02/08/2024,$209.22,5787652,$212.40,$213.10,$208.72
02/07/2024,$211.92,7747653,$208.76,$213.77,$207.99
02/06/2024,$208.58,7561923,$206.02,$210.6399,$203.89
02/05/2024,$206.63,8682514,$204.64,$207.34,$202.00
02/02/2024,$209.38,6275335,$209.06,$209.54,$206.3501
02/01/2024,$209.81,10679210,$213.84,$214.6324,$206.81
01/31/2024,$211.04,22409380,$204.92,$213.77,$203.25
01/30/2024,$200.44,13321190,$203.65,$203.98,$199.14
01/29/2024,$205.19,7535398,$206.06,$207.04,$203.85
01/26/2024,$205.47,9911195,$203.08,$206.75,$203.00
01/25/2024,$201.88,22112470,$208.20,$208.73,$198.32
01/24/2024,$214.13,15119120,$209.83,$217.59,$209.355
01/23/2024,$211.50,9076878,$215.35,$216.85,$211.13
01/22/2024,$214.93,10760760,$213.07,$217.00,$212.36
01/19/2024,$215.02,14345440,$210.89,$215.16,$209.23
01/18/2024,$211.61,20046760,$205.64,$213.04,$203.315
01/17/2024,$203.06,20140110,$202.63,$206.30,$201.65
01/16/2024,$200.52,35289980,$210.07,$210.98,$199.50
01/12/2024,$217.70,11285520,$219.97,$222.07,$217.04
01/11/2024,$222.66,11830490,$228.07,$228.28,$222.62
01/10/2024,$227.84,12883740,$226.90,$231.6099,$226.64
01/09/2024,$225.76,20687540,$225.66,$228.7899,$223.20
01/08/2024,$229.00,40730430,$228.00,$233.85,$225.79
01/05/2024,$249.00,3849746,$245.04,$250.19,$245.04
01/04/2024,$244.94,5170739,$244.58,$248.28,$244.18
01/03/2024,$243.91,7219930,$248.32,$250.13,$243.00
01/02/2024,$251.76,5815219,$257.28,$258.59,$250.87
12/29/2023,$260.66,3686554,$260.67,$262.22,$259.5613
12/28/2023,$260.35,5096448,$261.53,$262.10,$257.68
12/27/2023,$262.10,3484867,$262.63,$264.66,$260.90
12/26/2023,$262.79,3938565,$259.80,$263.7599,$259.54
12/22/2023,$260.44,4433959,$261.83,$262.8424,$259.20
12/21/2023,$262.02,6487150,$265.95,$267.54,$260.19
12/20/2023,$260.25,5151674,$262.25,$266.1298,$260.15
12/19/2023,$263.51,6089492,$261.04,$265.34,$260.8001
12/18/2023,$260.41,6140097,$260.63,$263.13,$260.25
12/15/2023,$264.27,14995890,$255.70,$265.52,$255.70
12/14/2023,$256.24,7883554,$250.91,$257.12,$249.26
12/13/2023,$250.91,5513393,$249.10,$251.87,$247.5316
12/12/2023,$248.63,5719220,$247.95,$250.5686,$247.40
12/11/2023,$248.08,7545047,$243.50,$248.08,$243.31
12/08/2023,$244.70,7171150,$237.32,$244.70,$237.32
12/07/2023,$237.33,6363664,$236.90,$238.30,$230.00
12/06/2023,$236.89,4740614,$234.78,$239.23,$234.43
12/05/2023,$234.16,3589846,$233.54,$234.74,$231.49
12/04/2023,$234.87,5228476,$231.30,$234.94,$230.07
12/01/2023,$233.87,6956205,$231.77,$235.38,$231.38
11/30/2023,$231.63,8736247,$225.00,$233.00,$224.9957
11/29/2023,$224.43,5424443,$223.35,$224.99,$221.3408
11/28/2023,$222.37,7817755,$222.01,$224.80,$219.41
11/27/2023,$219.30,3691175,$218.81,$219.53,$217.66
11/24/2023,$220.00,2312134,$220.61,$221.59,$218.96
11/22/2023,$219.91,5386264,$218.00,$221.50,$217.70
11/21/2023,$218.27,5362087,$216.50,$219.375,$216.07
11/20/2023,$217.71,11587360,$211.01,$218.88,$210.94
11/17/2023,$208.04,3568495,$208.36,$209.42,$206.82
11/16/2023,$206.60,4655083,$207.50,$207.89,$204.81
11/15/2023,$208.71,5205857,$208.21,$211.09,$207.60
11/14/2023,$207.47,7280093,$207.25,$208.56,$205.98
11/13/2023,$204.54,13040320,$203.49,$206.8486,$202.51
11/10/2023,$196.65,4790114,$195.00,$197.26,$194.21
11/09/2023,$193.33,4576284,$193.03,$197.07,$192.56
11/08/2023,$191.83,2984208,$191.45,$192.44,$190.135
11/07/2023,$191.41,4012942,$192.17,$192.17,$189.57
11/06/2023,$192.95,4222214,$195.88,$196.15,$192.46
11/03/2023,$195.05,4485077,$194.00,$197.14,$193.71
11/02/2023,$192.01,4312985,$190.90,$192.94,$190.34
11/01/2023,$189.38,5832248,$189.69,$190.7799,$187.501
10/31/2023,$186.82,5043018,$183.38,$187.29,$181.32
10/30/2023,$182.35,5507130,$179.42,$184.16,$179.42
10/27/2023,$179.69,4606334,$180.00,$182.3299,$179.01
10/26/2023,$179.09,6961816,$177.11,$182.95,$176.53
10/25/2023,$177.73,13806360,$186.00,$187.00,$176.25
10/24/2023,$182.36,4652871,$183.21,$184.35,$181.80
10/23/2023,$181.03,4146153,$179.44,$183.72,$178.43
10/20/2023,$180.04,4523502,$182.68,$183.3899,$179.85
10/19/2023,$182.79,4043653,$185.50,$187.05,$182.54
10/18/2023,$185.69,6268100,$187.22,$190.249,$185.05
10/17/2023,$185.60,5121789,$183.75,$188.3299,$183.30
10/16/2023,$184.93,4700965,$185.91,$186.23,$182.50
10/13/2023,$184.91,8222731,$186.27,$187.29,$183.175
10/12/2023,$191.30,5668341,$195.10,$195.70,$189.96
10/11/2023,$196.07,7393963,$195.47,$199.6199,$194.27
10/10/2023,$193.53,8062372,$190.01,$194.30,$188.76
10/09/2023,$188.49,4575846,$188.00,$189.49,$185.68
10/06/2023,$187.38,5364252,$185.37,$188.64,$182.55
10/05/2023,$186.29,4331651,$186.16,$188.095,$184.135
10/04/2023,$186.73,7419796,$188.85,$190.6324,$184.34
10/03/2023,$188.92,7285526,$188.625,$192.49,$188.20
10/02/2023,$187.83,5244743,$191.47,$192.44,$186.93
09/29/2023,$191.68,5158379,$191.92,$192.95,$190.17
09/28/2023,$190.43,8009511,$193.70,$195.2615,$190.03
09/27/2023,$195.46,4015532,$196.01,$196.40,$192.77
09/26/2023,$195.64,3666266,$197.79,$199.39,$195.42
09/25/2023,$198.78,3527078,$196.84,$198.98,$195.19
09/22/2023,$197.71,4452352,$199.96,$200.74,$197.14
09/21/2023,$199.95,4751021,$201.00,$203.60,$199.71
09/20/2023,$202.37,3742063,$205.87,$206.25,$202.31
09/19/2023,$204.48,4043318,$205.395,$205.658,$202.39
09/18/2023,$205.12,4299153,$207.91,$207.91,$204.98
09/15/2023,$208.11,4670575,$209.28,$209.83,$206.88
09/14/2023,$209.05,3974820,$209.14,$210.44,$208.10
09/13/2023,$208.40,3538051,$210.00,$212.18,$207.75
09/12/2023,$210.65,3256455,$209.35,$212.26,$208.58
09/11/2023,$211.01,4522283,$213.76,$214.20,$208.77
09/08/2023,$211.27,5759415,$215.825,$216.00,$210.51
09/07/2023,$216.05,4929553,$217.50,$220.55,$214.86
09/06/2023,$217.95,4233537,$221.77,$222.7878,$216.4249
09/05/2023,$222.57,3246492,$223.10,$224.0916,$221.20
09/01/2023,$223.40,3658370,$226.00,$226.23,$221.95
08/31/2023,$224.03,6953815,$229.33,$230.4339,$222.93
08/30/2023,$228.85,3328306,$227.08,$231.17,$226.65
08/29/2023,$227.25,3716672,$225.88,$229.40,$225.6638
08/28/2023,$227.06,4641752,$224.21,$227.45,$223.2901
08/25/2023,$223.41,12352320,$218.41,$223.77,$212.8801
08/24/2023,$217.31,9132572,$222.51,$224.20,$217.09
08/23/2023,$228.58,3004522,$230.00,$230.54,$227.105
08/22/2023,$230.07,3012891,$228.08,$230.48,$226.93
08/21/2023,$227.22,2734616,$226.80,$227.6899,$225.1006
08/18/2023,$226.65,3583165,$222.23,$226.79,$221.68
08/17/2023,$224.54,4359411,$230.57,$231.64,$224.26
08/16/2023,$229.95,2273333,$231.50,$234.67,$229.6002
08/15/2023,$232.26,3201850,$235.00,$235.56,$231.5401
08/14/2023,$236.71,2486316,$237.00,$238.65,$235.75
08/11/2023,$235.72,2652074,$237.61,$238.26,$235.12
08/10/2023,$238.26,3710810,$238.45,$241.58,$237.04
08/09/2023,$237.86,4044412,$238.54,$241.24,$236.4061
08/08/2023,$238.04,5149186,$236.52,$240.73,$236.00
08/07/2023,$238.25,6068011,$232.74,$238.98,$232.74
08/04/2023,$231.36,3500705,$232.29,$234.91,$230.08
08/03/2023,$231.36,3285836,$231.00,$233.577,$230.40
08/02/2023,$231.38,5332961,$234.985,$236.68,$230.69
08/01/2023,$238.01,4983841,$237.55,$243.10,$237.31
07/31/2023,$238.85,4897581,$238.99,$239.07,$236.21
07/28/2023,$238.69,7059533,$236.12,$240.13,$235.70
07/27/2023,$233.75,12018320,$235.245,$238.67,$231.83
07/26/2023,$232.80,24923800,$222.16,$233.09,$221.77
07/25/2023,$214.12,6513323,$214.20,$214.82,$210.81
07/24/2023,$215.87,4898342,$212.06,$215.94,$211.46
07/21/2023,$211.80,4056796,$213.89,$215.60,$211.64
07/20/2023,$213.61,5782187,$208.83,$215.10,$208.80
07/19/2023,$208.60,4814145,$211.12,$211.87,$208.235
07/18/2023,$211.57,5895773,$211.00,$213.04,$209.5699
07/17/2023,$211.87,3621509,$212.50,$214.23,$211.735
07/14/2023,$213.12,4294849,$217.00,$217.016,$212.81
07/13/2023,$216.85,4291709,$218.13,$218.90,$216.30
07/12/2023,$217.11,5123178,$219.51,$221.56,$216.92
07/11/2023,$218.76,7458378,$212.915,$218.98,$211.35
07/10/2023,$213.31,3497125,$211.84,$213.59,$211.22
07/07/2023,$212.10,4893550,$212.94,$215.66,$211.83
07/06/2023,$212.62,4683145,$212.48,$213.61,$209.58
07/05/2023,$213.31,4928368,$210.00,$214.28,$207.89
07/03/2023,$210.92,2143048,$210.50,$212.1686,$210.24
06/30/2023,$211.16,5488713,$213.14,$213.24,$209.38
06/29/2023,$211.83,3443612,$211.12,$213.22,$210.23
06/28/2023,$210.72,4276103,$211.21,$212.19,$209.45
06/27/2023,$209.43,4465456,$206.15,$209.66,$206.08
06/26/2023,$205.58,3444885,$206.11,$207.09,$204.66
06/23/2023,$205.41,6338199,$204.02,$205.61,$202.55
06/22/2023,$205.61,7066256,$205.61,$208.4999,$203.65
06/21/2023,$212.08,5356372,$211.83,$212.99,$209.3875
06/20/2023,$212.37,8226380,$218.89,$219.29,$211.88
06/16/2023,$219.99,7803924,$220.72,$223.87,$218.975
06/15/2023,$219.41,5001432,$217.17,$220.61,$215.31
06/14/2023,$216.90,5629070,$221.40,$221.585,$216.0313
06/13/2023,$220.38,5880966,$222.35,$223.12,$219.35
